sounds,Value,Elo,RW,Best,Worst,Unchosen,BestWorst,ABW,David,ValueLogit,RWLogit,BestWorstLogit
n_Vc-pont-C4-mf-2c.wav,0.44772404084447237,-155.8176763657292,0.44771171239357,2,4,10,-18.25,-0.25131442828090605,-17300,-0.20987078499878412,-0.20992064394423582,-18.25
n_PFL_FLatter_f_C6.wav,0.4044899975469859,-204.35133424712,0.4006588631258423,2,7,7,-46.375,-0.6466271649250525,-26600,-0.3867911771351624,-0.40272059680117434,-46.375
n_Cb-pizz_lv-C3-pp.wav,0.7474753976859219,617.1709790523148,0.7667241891325048,10,0,6,94.25,1.466337068793427,70300,1.0851927130522678,1.1899056486083852,94.25
n_Cb-pizz_lv-C2-mf.wav,0.8506101792889954,1008.807134282283,0.8848061395495652,15,0,1,141.125,3.4339872044851463,92600,1.7393948140216484,2.0387521175157626,141.125
n_Tbn-flatt-C5-ff.wav,0.3619520726990099,-306.97842490783654,0.3618796405177359,1,8,7,-65.125,-0.9382696385929302,-34600,-0.566901594483186,-0.5672152449956805,-65.125
n_MA_ES_A-So_f_C3.wav,0.7050375889026436,431.8792010282382,0.715273055908576,9,0,7,84.875,1.2729656758128876,54900,0.871403190771099,0.9211337360668722,84.875
n_MA_ES_A-Ha_f_C7.wav,0.47487376705221107,-58.689946290710004,0.4733871312168153,3,4,9,-8.875,-0.12516314295400605,-9800,-0.10058966225813169,-0.10655217128643726,-8.875
n_Vn-pizz_lv-C6-ff.wav,0.38467301837291495,-247.6010064982433,0.38356018160217903,0,5,11,-46.375,-0.6466271649250525,-28600,-0.46976013346033557,-0.4744641639186073,-46.375
n_TpC-brassy-C5-ff.wav,0.23416140178129735,-547.32049184294,0.2222373247285976,0,12,4,-112.0,-1.9459101490553135,-69900,-1.1849608114616086,-1.2526755918292227,-112.0
n_Fl-ord-C5-ff.wav,0.6035233479676038,186.5361065012623,0.6110598905974212,6,1,9,47.375,0.6466271649250525,24500,0.4201675732139962,0.45176960362495416,47.375
n_Ob-mul-C6+_D#5+_A#4-f.wav,0.2872664943509637,-450.59367507452373,0.2805729924643122,1,11,4,-93.25,-1.466337068793427,-59700,-0.9086972490110361,-0.9416211585080055,-93.25
n_TpC-ord-C6-pp.wav,0.42412100946184755,-146.99523889187833,0.42417042600064747,2,6,8,-37.0,-0.5108256237659907,-21900,-0.3058787385661136,-0.30567641585468447,-37.0
n_TpC-ord-C5-pp.wav,0.5707094830316869,159.72270110833358,0.5782799738084997,4,1,11,28.625,0.3794896217049037,16300,0.2847464084313,0.3157164863330455,28.625
n_Fl-flatt-C4-pp.wav,0.44767852448007767,-125.11697374849665,0.4490398146388104,2,4,10,-18.25,-0.25131442828090605,-16500,-0.210054864399888,-0.20455098983002634,-18.25
n_MA_ES_A-Ha_p_C5.wav,0.7987149789480712,793.87600445718,0.8278587105130394,13,0,3,122.375,2.268683541318364,71300,1.3782822410993927,1.5705269102344581,122.375
n_Cb-pizz_lv-C4-pp.wav,0.6501330150337711,283.43828925925754,0.6579028020713629,8,1,7,66.125,0.9382696385929302,42800,0.61962394117237,0.6539623020434164,66.125
n_Cb-pizz_bartok-C3-ff.wav,0.3985962228592373,-238.1900537551083,0.39942884396673095,2,6,8,-37.0,-0.5108256237659907,-31900,-0.4113176193987971,-0.4078454925250516,-37.0
n_Hp-ord-C2-ff.wav,0.6135955128649369,145.48289707339376,0.616983692120856,6,0,10,56.75,0.7884573603642703,24200,0.46245122228538627,0.47676502504056095,56.75
n_Xyl_HO_p_C7.wav,0.34528701057647176,-346.113450714171,0.341085222566944,1,8,7,-65.125,-0.9382696385929302,-43400,-0.6398209696218122,-0.658461839487433,-65.125
