sounds,Value,Elo,RW,Best,Worst,Unchosen,BestWorst,ABW,David,ValueLogit,RWLogit,BestWorstLogit
n_Vc-pont-C4-mf-2c.wav,0.502987243551199,18.73824097949911,0.505926127991937,0,0,8,0.5,0.0,700,0.011949116378711839,0.023705622032764606,0.5
n_PFL_FLatter_f_C6.wav,0.3308549483146859,-272.56292322664325,0.3104274217955981,0,5,3,-93.25,-1.466337068793427,-11600,-0.7043207985738812,-0.7981218259533754,-93.25
n_Cb-pizz_lv-C3-pp.wav,0.6768666272777455,422.3303500553232,0.7006816167465701,6,1,1,94.25,1.466337068793427,17800,0.7394090913660183,0.8505457656781045,94.25
n_Tbn-flatt-C5-ff.wav,0.4073703980625619,-104.33879540218774,0.40517167648222047,1,4,3,-55.75,-0.7884573603642702,-7100,-0.3748467460061838,-0.38396196217123413,-55.75
n_Cb-pizz_lv-C2-mf.wav,0.6676595865084589,325.6829748968105,0.6853888148732984,6,1,1,94.25,1.466337068793427,15700,0.6976186571560868,0.7786487467064593,94.25
n_MA_ES_A-So_f_C3.wav,0.6405372272760298,333.9699060578316,0.6631718443711409,5,1,2,75.5,1.0986122886681098,12400,0.5776966229830386,0.6774612723677671,75.5
n_MA_ES_A-Ha_f_C7.wav,0.49840789871380903,5.679070979403376,0.4985927668956558,1,1,6,0.5,0.0,-200,-0.0063684266682915176,-0.005628947280118276,0.5
n_Vn-pizz_lv-C6-ff.wav,0.3994679831986097,-155.90394674573517,0.3941502664736065,0,3,5,-55.75,-0.7884573603642702,-6500,-0.40768233719006813,-0.42989976726589013,-55.75
n_TpC-brassy-C5-ff.wav,0.2732063700445165,-618.077467892034,0.2203193448846993,0,6,2,-112.0,-1.9459101490553135,-19100,-0.9784151281358807,-1.2638063578268142,-112.0
n_Fl-ord-C5-ff.wav,0.5008184077662834,-0.0027000068975615577,0.5027360258606867,1,1,6,0.5,0.0,500,0.003273633988670954,0.010944212679082582,0.5
n_Ob-mul-C6+_D#5+_A#4-f.wav,0.31069465866039664,-435.8927187514223,0.2759792328838873,0,5,3,-93.25,-1.466337068793427,-16300,-0.7968737138521478,-0.9644944561244574,-93.25
n_TpC-ord-C6-pp.wav,0.4049548788328837,-272.896162255916,0.37573307928388716,0,2,6,-37.0,-0.5108256237659907,-9400,-0.3848615859539225,-0.5076990386919408,-37.0
n_TpC-ord-C5-pp.wav,0.5605437402393624,44.409176373458315,0.5646007406367013,3,1,4,38.0,0.5108256237659907,3200,0.24336908791742418,0.25985537985857105,38.0
n_Fl-flatt-C4-pp.wav,0.2667859990660827,-741.9948565535825,0.2016103065217767,0,6,2,-112.0,-1.9459101490553135,-20800,-1.0109907760368513,-1.3762601574334017,-112.0
n_MA_ES_A-Ha_p_C5.wav,0.518395740613892,124.65175165460899,0.5333707993972615,2,2,4,0.5,0.0,3300,0.07361619040016411,0.1336819266727217,0.5
n_Cb-pizz_lv-C4-pp.wav,0.49863279134468597,-25.641726415552576,0.49832215812188885,1,1,6,0.5,0.0,-300,-0.005468848251545414,-0.0067113927039866555,0.5
n_Cb-pizz_bartok-C3-ff.wav,0.4695001954783821,-55.82021436493633,0.47237556174929374,3,4,1,-18.25,-0.25131442828090605,-3600,-0.12215087457184344,-0.11061038855587396,-18.25
