sounds,Value,Elo,RW,Best,Worst,Unchosen,BestWorst,ABW,David,ValueLogit,RWLogit,BestWorstLogit
n_Vc-pont-C4-mf-2c.wav,0.634935102821542,395.08986268468266,0.649175074189153,5,0,11,47.375,0.6466271649250525,37300,0.5534476551220668,0.615415128080443,47.375
n_PFL_FLatter_f_C6.wav,0.6232048644634692,342.8138661982349,0.6361650575844757,6,1,9,47.375,0.6466271649250525,31100,0.5031736674638393,0.5587577442807862,47.375
n_Cb-pizz_lv-C3-pp.wav,0.24195234416871217,-681.2740237805174,0.22007040162007932,0,11,5,-102.625,-1.6863989535702288,-64600,-1.14200547231418,-1.265256154597891,-102.625
n_Tbn-flatt-C5-ff.wav,0.7825091608265835,677.0800182491719,0.8011049811544777,13,0,3,122.375,2.268683541318364,65900,1.2803488985735978,1.393214859060604,122.375
n_Cb-pizz_lv-C2-mf.wav,0.32638248285607846,-472.67866146448745,0.31831560929846964,0,7,9,-65.125,-0.9382696385929302,-47200,-0.7245925139217118,-0.7615234078337763,-65.125
n_MA_ES_A-Ha_f_C7.wav,0.38013306158585475,-251.8304982277835,0.3779103258411944,1,7,8,-55.75,-0.7884573603642702,-30400,-0.48898348604884656,-0.49842731876992596,-55.75
n_MA_ES_A-So_f_C3.wav,0.3408377381943028,-371.506213299585,0.3373966745920227,0,7,9,-65.125,-0.9382696385929302,-38700,-0.6595632055193373,-0.6749171944970641,-65.125
n_Vn-pizz_lv-C6-ff.wav,0.3879568350750458,-266.0240244102861,0.38722176881412823,0,5,11,-46.375,-0.6466271649250525,-26400,-0.4559087273202936,-0.4590055193407139,-46.375
n_TpC-brassy-C5-ff.wav,0.6981134030530713,451.75866114461286,0.7103085521554622,9,0,7,84.875,1.2729656758128876,49200,0.8383301180669066,0.8968830725236313,84.875
n_Fl-ord-C5-ff.wav,0.37530122950259953,-291.27241824503557,0.3681991182611137,0,5,11,-46.375,-0.6466271649250525,-30300,-0.5095405841603514,-0.5399504098971112,-46.375
n_Ob-mul-C6+_D#5+_A#4-f.wav,0.659133043560327,433.11560178279547,0.6683433142328661,8,1,7,66.125,0.9382696385929302,47200,0.6594331570834907,0.7007016301020578,66.125
n_TpC-ord-C6-pp.wav,0.5099617638859618,54.82582521323131,0.5131263871698709,1,1,14,0.5,0.0,3300,0.039852329189091616,0.05251761608759159,0.5
n_TpC-ord-C5-pp.wav,0.44495021224254433,-156.18417806615696,0.44341813723253326,1,3,12,-18.25,-0.25131442828090605,-15900,-0.22109542408814203,-0.2273010615581845,-18.25
n_Fl-flatt-C4-pp.wav,0.751846884195873,567.1402153663938,0.7635933932074803,12,0,4,113.0,1.9459101490553132,62200,1.1084867336900515,1.1724822069937382,113.0
n_MA_ES_A-Ha_p_C5.wav,0.18227933485585604,-839.7877901854642,0.1610486180948799,0,14,2,-130.75,-2.70805020110221,-76500,-1.5009804757648026,-1.6504464619749128,-130.75
n_Cb-pizz_lv-C4-pp.wav,0.3248802880589677,-462.6392481078594,0.31522575937126524,0,7,9,-65.125,-0.9382696385929302,-47600,-0.7314332561311302,-0.775800129677619,-65.125
n_Cb-pizz_bartok-C3-ff.wav,0.5597795324858632,186.8003980947011,0.5666193892602502,4,2,10,19.25,0.25131442828090617,15700,0.24026735026810528,0.2680714566409816,19.25
n_Hp-ord-C2-ff.wav,0.6271858753084815,224.50964725545313,0.6296108061378181,9,2,5,66.125,0.9382696385929302,36200,0.5201629783326865,0.5305475323447938,66.125
n_Xyl_HO_p_C7.wav,0.31150144719506784,-463.4049923063427,0.30499858985921785,1,10,5,-83.875,-1.2729656758128873,-53300,-0.7931092321050955,-0.8236067213579534,-83.875
n_Hn-ord-C3-pp.wav,0.35305819725584503,-387.4955267912728,0.3480684845677263,1,7,8,-55.75,-0.7884573603642702,-40200,-0.6056234329723813,-0.6275402635814713,-55.75
n_Va-nonvib-C5-pp.wav,0.6010622301570248,209.1758528071707,0.6101282393683316,5,1,10,38.0,0.5108256237659907,27300,0.40989303410912753,0.44785129738737484,38.0
n_Cb-nonvib-C5-pp.wav,0.5672231757376068,167.84582981120136,0.5705009920787668,4,1,11,28.625,0.3794896217049037,15800,0.2705306565658659,0.28389547668842385,28.625
n_Hn-ord-C5-pp.wav,0.27140551575230926,-573.9562949880433,0.2645236986521946,0,10,6,-93.25,-1.466337068793427,-66100,-0.987503243675991,-1.0225874731637146,-93.25
n_Xyl_HO_f_C8.wav,0.25358913749177486,-580.5596674231149,0.23525152295878854,0,11,5,-102.625,-1.6863989535702288,-60100,-1.0795608142155202,-1.1788917393492075,-102.625
n_Fl-ord-C7-mf.wav,0.5098604851975046,59.151693358709466,0.5128209107770014,3,3,10,0.5,0.0,5600,0.039447055192984554,0.0512948872607913,0.5
n_Va-nonvib-C5-ff.wav,0.5352623342998368,55.69413923073839,0.5364252792092762,3,1,12,19.25,0.25131442828090617,7000,0.14128388459735866,0.14595969591366428,19.25
n_Bn-mul-C#3_C3_C2_C#4-mf.wav,0.8432335824397541,981.4748037469975,0.8751281625611392,15,0,1,141.125,3.4339872044851463,87700,1.6824870931107152,1.9470824362970718,141.125
n_Ob-flatt-C6-mf.wav,0.6242276013526458,234.47067932945816,0.6346312582800616,7,1,8,56.75,0.7884573603642703,29100,0.5075314102615941,0.5521370396921469,56.75
n_Tbn-pedal_tone-C1-f.wav,0.738103475961158,546.8261394338988,0.7412467256531431,13,1,2,113.0,1.9459101490553132,64800,1.0361345467686789,1.0524585339907193,113.0
n_BKL_stac_mf1_C4.wav,0.41771844663056396,-256.8818081496387,0.4144190098505289,1,4,11,-27.625,-0.3794896217049037,-22600,-0.33214646651047963,-0.345726936859183,-27.625
n_Vn-ord-C7-pp.wav,0.6749345824861852,439.72617505340384,0.6882474533257792,9,1,6,75.5,1.0986122886681098,43700,0.7305893246081121,0.7919386903092612,75.5
n_Vn-pizz_lv-C7-pp.wav,0.4460189369217294,-102.19860686576214,0.4433910784618982,3,6,7,-27.625,-0.3794896217049037,-12400,-0.21676909340942613,-0.22741070136277558,-27.625
n_BKL-L_pA_sus_pp_C2.wav,0.3884921234928983,-243.11180780457627,0.3860294364227459,0,5,11,-46.375,-0.6466271649250525,-23600,-0.4536549402246839,-0.46403335822156927,-46.375
n_ClBb-flatt-C6-ff.wav,0.5728467905698554,123.60691917120025,0.5805454248407889,5,1,10,38.0,0.5108256237659907,14600,0.29347554659775843,0.32501281255684283,38.0
n_ASax-ord-C4-ff.wav,0.4438122745565467,-108.54430674191813,0.44207397222493466,3,6,7,-27.625,-0.3794896217049037,-13700,-0.22570420498200022,-0.2327491608323355,-27.625
n_MA_ES_A-So_f_C5.wav,0.3392051728286823,-361.0020908759308,0.33381852595939465,1,9,6,-74.5,-1.0986122886681098,-39600,-0.6668382401595306,-0.6909646071023513,-74.5
n_Hn-ord-C4-pp.wav,0.3231598825508466,-383.59121917637003,0.3146517733232367,0,8,8,-74.5,-1.0986122886681098,-38600,-0.7392878885543345,-0.7784605233863577,-74.5
n_Bn-ord-C4-pp.wav,0.3916031150964706,-303.7345672751839,0.38447963679487684,1,5,10,-37.0,-0.5108256237659907,-28300,-0.44057857481009405,-0.47057720176044865,-37.0
n_Fl-mul-A#5_G#4_C#6_C5-mf.wav,0.6205079741569397,310.29177562379897,0.6295550878903073,7,2,7,47.375,0.6466271649250525,36200,0.4917048713980099,0.530308611786715,47.375
n_MA_ES_A-Ha_p_C3.wav,0.20624843745444402,-763.6769881053212,0.1893831486913426,0,13,3,-121.375,-2.268683541318364,-80000,-1.3476890695586548,-1.454023297932738,-121.375
n_TpC-ord-C5-mf.wav,0.39440063192632924,-182.61300139572674,0.3945650715035259,1,7,8,-55.75,-0.7884573603642702,-21500,-0.42885143367673123,-0.42816301636925835,-55.75
n_Vc-pizz_bartok-C3-ff-3c.wav,0.5832515223218099,213.34868703404686,0.5928479354529685,5,2,9,28.625,0.3794896217049037,25000,0.3361356521830747,0.375751194858978,28.625
n_Vc-ord-C4-ff.wav,0.612194144474407,241.96655845661448,0.6144699410983692,5,0,11,47.375,0.6466271649250525,25500,0.4565446197004902,0.46614084800964045,47.375
n_Fl-aeolian+ord-C5-mf.wav,0.49287290294261055,-44.77303001409976,0.4867564282387884,3,3,10,0.5,0.0,-2300,-0.028510319262560316,-0.0529866806307394,0.5
